0.13708  	-0.1090  	0.04706  	0.32137  	0.14308  	0.24267  	-0.3851  	-0.3533  	0.33153  	-0.0260  	0.20811  	0.73033  	-0.2055  	-0.3710  	-0.2098  	0.59189  	0.29964  	0.04193  	0.50174  	-0.0141  	-0.0146  	0.32945  	0.25072  	0.39304  	-0.0055  	0.18541  	0.09616  	-0.8364  	-0.3998  	-0.0506  	-0.0492  	0.26778  	-0.2476  	-0.0443  	0.36102  	-0.1309  	0.26898  	0.25843  	-0.4912  	-0.2252  	0.20067  	0.08755  	-0.1016  	0.39002  	0.07625  	-0.0205  	-0.0549  	0.05417  	0.03710  	-0.0865  	-0.1010  	-0.0312  	0.00141  	-3.0015  	-0.0314  	0.03341  	-0.0052  	0.00356  	0.00510  	0.00609  	-0.0138  	0.01430  	0.05197  	-0.0093  	0.10752  	-0.1203  	-0.0003  	0.00807  	0.02838  	0.57488  	
0.11571  	-0.1234  	0.02248  	0.38304  	0.25936  	0.19346  	-0.3600  	-0.4084  	0.30755  	0.05855  	0.07160  	0.73426  	-0.1578  	-0.3348  	-0.2674  	0.59742  	0.26076  	0.10434  	0.49121  	0.07362  	-0.1861  	0.31950  	0.13335  	0.30959  	0.07967  	0.19070  	0.01530  	-0.6467  	-0.1934  	-0.0118  	-0.0593  	0.23280  	-0.2489  	-0.0418  	0.27251  	-0.0558  	0.11860  	0.20377  	-0.4203  	-0.1842  	0.22079  	0.08832  	-0.0908  	0.39942  	0.07627  	-0.0256  	-0.0569  	0.07117  	0.04104  	-0.0883  	-0.0887  	-0.0321  	-0.0029  	-0.0049  	-0.0280  	0.02905  	-0.0016  	-0.0026  	0.00977  	0.00104  	-0.0136  	0.00972  	0.05329  	-0.0106  	0.09795  	-0.1196  	0.00277  	0.00756  	0.02669  	0.58644  	
-0.0139  	-0.1605  	-0.1997  	0.53218  	0.42376  	0.03887  	-0.3605  	-0.5174  	0.24835  	0.10834  	-0.0789  	0.74066  	-0.1225  	-0.3081  	-0.2273  	0.49782  	0.20140  	0.14632  	0.44439  	0.23041  	-0.3831  	0.32458  	-0.0605  	0.26217  	0.16920  	0.18789  	-0.0231  	-0.4596  	-0.0204  	0.07395  	-0.0685  	0.20986  	-0.2551  	-0.0006  	0.25831  	0.01636  	-0.0237  	0.11407  	-0.3493  	-0.1056  	0.21526  	0.11828  	-0.1225  	0.39468  	0.09855  	-0.0165  	-0.0604  	0.06427  	0.03953  	-0.1038  	-0.0815  	-0.0327  	-0.0039  	-0.0158  	-0.0374  	0.03361  	0.00735  	-0.0036  	0.00479  	0.00115  	-0.0144  	0.01181  	0.04350  	-0.0150  	0.08880  	-0.1175  	0.00577  	0.00714  	0.02520  	0.59852  	
-0.0682  	-0.1835  	-0.3045  	0.72430  	0.58492  	0.11212  	-0.3356  	-0.5401  	0.20938  	0.08716  	-0.1664  	0.83325  	-0.0996  	-0.2957  	-0.0832  	0.47441  	0.19356  	0.15133  	0.45419  	0.21282  	-0.4507  	0.38591  	-0.0820  	0.26352  	0.21022  	0.16874  	-0.0561  	-0.3556  	0.06824  	0.11477  	-0.0854  	0.18365  	-0.2788  	0.00107  	0.25060  	0.02763  	-0.1143  	0.10322  	-0.3186  	-0.0942  	0.17400  	0.11830  	-0.1314  	0.36843  	0.09499  	-0.0186  	-0.0596  	0.06188  	0.04625  	-0.1045  	-0.0893  	-0.0424  	-0.0031  	-0.0150  	-0.0361  	0.02429  	0.01541  	0.00388  	0.01547  	-0.0061  	-0.0226  	-0.0012  	0.04223  	-0.0123  	0.08006  	-0.1141  	0.00868  	0.00681  	0.02390  	0.61112  	
-0.0824  	-0.1969  	-0.3423  	0.83757  	0.59904  	0.19410  	-0.3621  	-0.5174  	0.19865  	-0.0010  	-0.2757  	0.81841  	-0.0514  	-0.2424  	0.06288  	0.44114  	0.23778  	0.13110  	0.47413  	0.18838  	-0.4819  	0.42397  	-0.0638  	0.21880  	0.25123  	0.18579  	-0.0541  	-0.3267  	0.12760  	0.15240  	-0.0825  	0.16443  	-0.2715  	0.00214  	0.25547  	-0.0045  	-0.1259  	0.10118  	-0.3080  	-0.0966  	0.16582  	0.11026  	-0.1301  	0.36576  	0.09939  	-0.0169  	-0.0538  	0.05538  	0.04087  	-0.1019  	-0.0790  	-0.0424  	-0.0069  	-0.0244  	-0.0286  	0.03059  	0.01419  	0.00125  	0.01883  	0.00327  	-0.0212  	0.00264  	0.04260  	-0.0177  	0.07172  	-0.1094  	0.01151  	0.00657  	0.02279  	0.62424  	
-0.1250  	-0.2040  	-0.2943  	0.67128  	0.50565  	0.10298  	-0.3622  	-0.5600  	0.22453  	0.06480  	-0.2287  	0.80630  	-0.1097  	-0.3465  	-0.0850  	0.47827  	0.25868  	0.21162  	0.51035  	0.17554  	-0.4643  	0.35837  	-0.0460  	0.21591  	0.21609  	0.20221  	-0.1076  	-0.3343  	0.09838  	0.09672  	-0.0856  	0.16634  	-0.2676  	-0.0035  	0.18019  	0.00515  	-0.1049  	0.10885  	-0.3059  	-0.0653  	0.19222  	0.10063  	-0.1172  	0.38059  	0.10343  	-0.0167  	-0.0584  	0.06151  	0.03351  	-0.0904  	-0.0856  	-0.0422  	-0.0072  	-0.0110  	-0.0272  	0.02311  	0.01473  	0.00141  	0.01242  	0.00638  	-0.0244  	-0.0042  	0.04097  	-0.0107  	0.06380  	-0.1034  	0.01425  	0.00643  	0.02188  	0.63788  	
-0.2901  	-0.2524  	-0.3009  	0.25274  	0.31173  	-0.0329  	-0.3787  	-0.6206  	0.19201  	0.14945  	-0.0144  	0.73023  	-0.2189  	-0.6370  	-0.4237  	0.45396  	0.24171  	0.23619  	0.51363  	0.15425  	-0.4408  	0.30403  	0.03096  	0.25155  	0.13483  	0.20340  	-0.0855  	-0.4217  	0.02733  	0.02371  	-0.0479  	0.19932  	-0.2908  	-0.0145  	0.15807  	0.05484  	-0.0582  	0.14071  	-0.3644  	-0.0859  	0.24649  	0.08868  	-0.1067  	0.38645  	0.09258  	-0.0187  	-0.0635  	0.05310  	0.03145  	-0.1002  	-0.0852  	-0.0397  	-0.0014  	-0.0129  	-0.0282  	0.02389  	0.01384  	0.00644  	0.02419  	0.00526  	-0.0166  	-0.0063  	0.05074  	-0.0069  	0.05630  	-0.0961  	0.01692  	0.00637  	0.02116  	0.65204  	
-0.5293  	-0.3740  	-0.3133  	-0.0430  	0.08276  	-0.0727  	-0.4046  	-0.6648  	0.16528  	0.15952  	0.14829  	0.59470  	-0.3196  	-0.8475  	-0.6583  	0.41883  	0.26524  	0.21919  	0.51621  	0.16768  	-0.4387  	0.27422  	0.15519  	0.23480  	0.08762  	0.23832  	-0.1361  	-0.4457  	-0.0011  	-0.0438  	-0.0250  	0.20849  	-0.3184  	-0.0314  	0.06437  	0.09147  	-0.0329  	0.15169  	-0.3646  	-0.1254  	0.32150  	0.08227  	-0.1156  	0.40408  	0.09845  	-0.0216  	-0.0521  	0.04062  	0.01721  	-0.0855  	-0.0827  	-0.0316  	0.00079  	-0.0208  	-0.0284  	0.00888  	0.01972  	0.00544  	0.01071  	0.00248  	-0.0142  	-0.0016  	0.05643  	0.00122  	0.04615  	-0.0864  	0.01873  	0.00722  	0.01986  	0.66556  	
-0.5608  	-0.3812  	-0.3378  	-0.0352  	0.04233  	-0.1451  	-0.4067  	-0.7248  	0.15829  	0.19585  	0.15814  	0.63376  	-0.3097  	-0.8927  	-0.6946  	0.40697  	0.27148  	0.23304  	0.49976  	0.16231  	-0.5217  	0.27457  	0.17323  	0.18748  	0.05518  	0.24205  	-0.1804  	-0.4253  	0.03817  	-0.0359  	-0.0056  	0.20048  	-0.3322  	-0.0241  	0.04080  	0.10321  	-0.0762  	0.16078  	-0.3734  	-0.1280  	0.35329  	0.07452  	-0.0864  	0.42038  	0.08878  	-0.0286  	-0.0518  	0.04515  	0.03049  	-0.0922  	-0.0887  	-0.0293  	-0.0044  	-0.0147  	-0.0184  	0.01061  	0.00572  	0.00711  	0.00973  	-0.0074  	-0.0170  	0.01177  	0.05387  	-0.0050  	0.03731  	-0.0759  	0.02022  	0.00747  	0.01931  	0.68484  	
-0.4603  	-0.3163  	-0.2609  	0.10234  	0.11461  	-0.1129  	-0.4240  	-0.6674  	0.19010  	0.17559  	0.12895  	0.67395  	-0.2873  	-0.8038  	-0.6120  	0.45371  	0.29710  	0.19160  	0.50304  	0.13740  	-0.4691  	0.28625  	0.19274  	0.20096  	0.02852  	0.23222  	-0.2131  	-0.4347  	-0.0035  	-0.0493  	-0.0174  	0.19706  	-0.2942  	-0.0153  	0.08299  	0.05291  	-0.0556  	0.16779  	-0.3796  	-0.1301  	0.35248  	0.07104  	-0.0848  	0.42174  	0.07719  	-0.0184  	-0.0541  	0.05932  	0.02374  	-0.0807  	-0.0956  	-0.0340  	-0.0016  	-0.0095  	-0.0261  	0.01513  	0.00079  	0.00339  	0.01212  	-0.0042  	-0.0142  	0.00796  	0.05154  	-0.0073  	0.03177  	-0.0643  	0.02198  	0.00736  	0.01939  	0.70250  	
